Exercise,Category,BodyPart,Equipment,Difficulty,Stimulus-to-Fatigue,Expected Time,Hypertrophy Rating
Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate,0.762288014,13.9844662,0.547337137
UNS Banded Push-Up,Strength,Chest,Bands,Intermediate,0.716157319,15.55940489,0.452467275
Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Bands,Intermediate,0.856899285,14.24887324,0.441768277
Incline band bench press,Strength,Chest,Bands,Intermediate,0.695887422,14.94599518,0.451257931
Band push-up,Strength,Chest,Bands,Intermediate,0.743885017,13.49284222,0.463068704
Band chest fly,Strength,Chest,Bands,Intermediate,0.720408647,14.10240637,0.486604234
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,0.830233078,14.66422824,0.465869401
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,0.822358367,14.31661617,0.441567718
Standing alternating band speed row,Strength,Forearms,Bands,Intermediate,0.892436405,13.32759378,0.412247125
Band roundhouse elbow,Strength,Forearms,Bands,Intermediate,0.716669181,14.6299546,0.528883776
Hip Extension with Bands,Strength,Glutes,Bands,Beginner,0.896468331,12.03468291,0.36148716
HM Monster Walk,Strength,Glutes,Bands,Intermediate,0.74076169,16.11744701,0.496786973
UNS Banded Glute Bridge,Strength,Glutes,Bands,Intermediate,0.696202353,15.6356854,0.526321821
FYR2 Banded Glute Bridge,Strength,Glutes,Bands,Intermediate,0.734869453,15.33127181,0.453768592
Band-assisted pull-up,Strength,Lats,Bands,Intermediate,0.695473282,15.13839124,0.4887872
Assisted Chin-Up,Strength,Lats,Bands,Beginner,0.854568439,10.60828849,0.270697281
UN Band Assisted Pull-up Pronated,Strength,Lats,Bands,Intermediate,0.791389294,12.8978979,0.475212388
UN Band Assisted Pull-up Neutral,Strength,Lats,Bands,Intermediate,0.673873739,13.87764471,0.477324721
UN Band Assisted Pull-up Supinated,Strength,Lats,Bands,Intermediate,0.787229014,15.05630759,0.442560726
FYR2 Monster Band Face-Pull Hold,Strength,Lats,Bands,Intermediate,0.72450933,15.88180175,0.464926464
Single-arm band low row,Strength,Lats,Bands,Intermediate,0.783870048,14.66926622,0.473926337
Band good morning-,Strength,Lower Back,Bands,Intermediate,0.819722097,15.34116963,0.47026608
FYR2 Monster Banded Good Morning,Strength,Lower Back,Bands,Intermediate,0.731648059,13.33274468,0.539644916
Band deadlift,Strength,Lower Back,Bands,Intermediate,0.736181007,14.46860964,0.523637018
Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Bands,Beginner,0.914200336,12.86527491,0.339366098
Partner side plank band row,Strength,Middle Back,Bands,Intermediate,0.775481292,15.23639396,0.471037279
Band-assisted chin-up,Strength,Middle Back,Bands,Intermediate,0.691125265,15.9862096,0.51557753
30 Back Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate,0.759202979,13.98080385,0.498865259
30 Back Reverse-Grip Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate,0.78083038,14.55684766,0.398168546
Band bent-over row,Strength,Middle Back,Bands,Intermediate,0.692375463,14.91610414,0.459516583
Heavy band bent-over row,Strength,Middle Back,Bands,Intermediate,0.70693912,13.73944014,0.477041396
Upright Row - With Bands,Strength,Traps,Bands,Beginner,0.892277428,12.96817202,0.370904903
Band seated row,Strength,Traps,Bands,Intermediate,0.67586528,12.77064508,0.422219576
Single-leg depth squat,Strength,Quadriceps,Bands,Intermediate,0.708682976,14.25831093,0.439129225
Squats - With Bands,Strength,Quadriceps,Bands,Beginner,0.942599162,11.32203571,0.297504698
Hip Flexion with Band,Strength,Quadriceps,Bands,Beginner,0.893563614,12.78635113,0.323899094
Forward Band Walk,Strength,Quadriceps,Bands,Beginner,0.882796638,12.7351382,0.355351508
Boss Everline Resistance-Band Pull Sprint,Strength,Quadriceps,Bands,Intermediate,0.720328011,12.0519126,0.487029792
Banded jump squat,Strength,Quadriceps,Bands,Intermediate,0.8014485,14.14112402,0.461939734
HM Banded Squat Toe Tap,Strength,Quadriceps,Bands,Intermediate,0.790706466,13.59601703,0.473535479
UP Band Abducted Squat,Strength,Quadriceps,Bands,Intermediate,0.701585458,13.7159303,0.514971188
FYR2 Lateral Band Walk,Strength,Quadriceps,Bands,Intermediate,0.757015895,15.34948853,0.438605326
FYR2 Banded Squat Hold-Pulse-Jump Complex,Strength,Quadriceps,Bands,Intermediate,0.781045874,14.32364225,0.518227696
Band split squat,Strength,Quadriceps,Bands,Intermediate,0.715312901,16.09231842,0.477553786
Band front squat,Strength,Quadriceps,Bands,Intermediate,0.736382039,14.51679247,0.450453519
Squat hold with band pull-apart,Strength,Quadriceps,Bands,Intermediate,0.693868114,14.80257757,0.471620546
Banded squat toe tap,Strength,Quadriceps,Bands,Intermediate,0.699692631,15.82854323,0.494869094
Band overhead squat,Strength,Quadriceps,Bands,Intermediate,0.818160257,13.33372003,0.484125748
Internal Rotation with Band,Strength,Shoulders,Bands,Beginner,0.866785688,12.54700066,0.264865602
Band Pull Apart,Strength,Shoulders,Bands,Intermediate,0.73844568,13.56280655,0.422933083
Back Flyes - With Bands,Strength,Shoulders,Bands,Beginner,0.949748972,12.98652969,0.292046189
Lateral Raise - With Bands,Strength,Shoulders,Bands,Beginner,0.793949093,13.51591066,0.345185366
Shoulder Press - With Bands,Strength,Shoulders,Bands,Beginner,0.898599476,13.69941425,0.323911102
External Rotation with Band,Strength,Shoulders,Bands,Beginner,0.920077261,13.10300754,0.290775673
FYR Band Pull-Apart,Strength,Shoulders,Bands,Intermediate,0.798071855,15.30495015,0.458669242
HM Lateral Raise,Strength,Shoulders,Bands,Intermediate,0.747218596,12.81914455,0.515272574
Rusin Banded Over-And-Back,Strength,Shoulders,Bands,Intermediate,0.746724711,14.56749678,0.494756193
Rusin Banded Face Pull,Strength,Shoulders,Bands,Intermediate,0.815455399,14.68341366,0.423794276
UP Band Pull-Apart,Strength,Shoulders,Bands,Intermediate,0.726476325,17.35839045,0.462010298
Jordan Shallow Band-Resisted Thread the Needle,Strength,Shoulders,Bands,Intermediate,0.779898805,15.72887107,0.422551248
30 Shoulders Seated Banded Barbell Shoulder Press,Strength,Shoulders,Bands,Intermediate,0.758270495,16.1580866,0.430116478
Band shoulder press,Strength,Shoulders,Bands,Intermediate,0.702212361,13.45600422,0.498651272
Band lateral raise,Strength,Shoulders,Bands,Intermediate,0.709005969,13.83411009,0.53381596
Band upright row,Strength,Shoulders,Bands,Intermediate,0.806403377,14.73223631,0.470354292
Staggered-stance band shoulder press,Strength,Shoulders,Bands,Intermediate,0.735200325,14.96287317,0.478524832
Single-arm banded landmine press,Strength,Shoulders,Bands,Intermediate,0.692255553,15.87632248,0.472909447
Band front raise rear fly row combo,Strength,Shoulders,Bands,Intermediate,0.729146401,14.90966646,0.494527334
Band overhead triceps press,Strength,Triceps,Bands,Intermediate,0.68595853,14.83997334,0.469741776
Band overhead triceps extension,Strength,Triceps,Bands,Intermediate,0.718166546,14.44144094,0.431305718
Band straight-arm pull-down,Strength,Triceps,Bands,Intermediate,0.666664333,14.96860123,0.483214897
Band skullcrusher,Strength,Triceps,Bands,Intermediate,0.795069923,13.08184362,0.429024775
Single-arm band kick-back,Strength,Triceps,Bands,Intermediate,0.712698198,14.79545345,0.46519479
Kneeling Jump Squat,Olympic Weightlifting,Glutes,Barbell,Beginner,0.534173437,19.51048394,0.597084222
Clean Deadlift,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.574849839,18.41453742,0.697532967
Romanian Deadlift from Deficit,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.576511895,19.30593844,0.603823525
Power Snatch,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.559005919,19.78301357,0.615899386
Power Clean from Blocks,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.515119668,17.53861506,0.554321379
Snatch Deadlift,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.610104972,17.96266014,0.633145228
Hang Snatch,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.533262455,19.35955811,0.577262467
Wide Stance Stiff Legs,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.575236545,18.72898076,0.635834363
Clean,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.560091055,17.67341267,0.637132882
Muscle Snatch,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.497548109,19.0486571,0.614804122
Split Snatch,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.583454516,18.03691923,0.609222282
Hang Snatch - Below Knees,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.589277539,17.902115,0.634276566
Clean Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,0.564639703,16.88042629,0.680311192
Snatch Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,0.639852396,18.32119105,0.550231326
Clean from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.539858631,20.56538927,0.650887986
Push-press,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,0.396346627,20.41156116,0.707823863
Power snatch-,Olympic Weightlifting,Quadriceps,Barbell,Expert,0.397313619,19.4709914,0.749183672
Hang Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.665918276,19.87642605,0.571434826
Olympic Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.551261396,19.48166346,0.63637201
Hang Clean - Below the Knees,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.489207863,19.74053156,0.566793377
Split Jerk,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.529213773,20.02149114,0.663419687
Push-jerk,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,0.439572661,18.64912154,0.805639185
Jerk Dip Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.593885474,19.84680159,0.57665239
Frankenstein Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.567551232,19.09160426,0.568924863
Clean Pull,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.637070526,17.94499025,0.557009205
Split Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.605330018,19.64357521,0.627408873
Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.532430348,20.0810348,0.581754966
Power Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.596322287,17.51741053,0.553284129
Heaving Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.497795287,20.51379653,0.583177549
Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.584907919,18.38693657,0.574283586
Clean and jerk,Olympic Weightlifting,Shoulders,Barbell,Intermediate,0.426512609,21.34701639,0.773921272
Behind-the-head push-press,Olympic Weightlifting,Shoulders,Barbell,Intermediate,0.462269698,21.15350407,0.850898096
Rack Delivery,Olympic Weightlifting,Shoulders,Barbell,Beginner,0.620323684,18.74558461,0.596210033
Tall Muscle Snatch,Olympic Weightlifting,Shoulders,Barbell,Beginner,0.527997278,18.18876281,0.61830024
Jerk Balance,Olympic Weightlifting,Shoulders,Barbell,Beginner,0.575295711,19.24709343,0.633425794
Board bench press,Powerlifting,Chest,Barbell,Intermediate,0.536214828,19.30504992,0.971210997
Barbell glute bridge,Powerlifting,Glutes,Barbell,Intermediate,0.502817123,19.51689188,1
Barbell Hip Thrust,Powerlifting,Glutes,Barbell,Intermediate,0.519342549,20.61691411,0.970990065
Kneeling Squat,Powerlifting,Glutes,Barbell,Beginner,0.702842926,17.7933233,0.798963361
Sumo deadlift,Powerlifting,Hamstrings,Barbell,Beginner,0.608811327,20.05587361,0.776422512
Good Morning,Powerlifting,Hamstrings,Barbell,Intermediate,0.510650938,18.32341288,0.971195303
Sumo Deadlift with Chains,Powerlifting,Hamstrings,Barbell,Beginner,0.658573171,18.72928246,0.768115703
Sumo Deadlift with Bands,Powerlifting,Hamstrings,Barbell,Beginner,0.700314326,16.45914863,0.844633051
Good Morning off Pins,Powerlifting,Hamstrings,Barbell,Beginner,0.61224834,19.45350793,0.849432954
Hanging Bar Good Morning,Powerlifting,Hamstrings,Barbell,Beginner,0.673681143,17.73792395,0.825371358
Reverse Band Sumo Deadlift,Powerlifting,Hamstrings,Barbell,Beginner,0.695309728,17.28605742,0.835608643
Barbell deficit deadlift,Powerlifting,Lower Back,Barbell,Beginner,0.652604666,19.64711303,0.78944489
Deadlift with Bands,Powerlifting,Lower Back,Barbell,Beginner,0.64710252,17.72359707,0.738919924
Deadlift with Chains,Powerlifting,Lower Back,Barbell,Beginner,0.678442331,17.16511321,0.79120978
Rack Pull with Bands,Powerlifting,Lower Back,Barbell,Beginner,0.693370305,18.14827787,0.765420125
Rack pull,Powerlifting,Lower Back,Barbell,Intermediate,0.509425318,18.67223358,0.99317
Seated Good Mornings,Powerlifting,Lower Back,Barbell,Beginner,0.694401898,16.95347377,0.837682858
Reverse Band Deadlift,Powerlifting,Lower Back,Barbell,Beginner,0.664071254,17.81288861,0.805649791
Barbell back squat to box,Powerlifting,Quadriceps,Barbell,Intermediate,0.473204047,19.26201159,0.966111823
Box Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner,0.646071026,16.80258982,0.758655021
Squat with Chains,Powerlifting,Quadriceps,Barbell,Beginner,0.668109824,17.8600018,0.811215228
Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner,0.692554245,17.71659985,0.806409957
Reverse Band Power Squat,Powerlifting,Quadriceps,Barbell,Beginner,0.632778956,18.79931034,0.800518862
Bench Press - Powerlifting,Powerlifting,Triceps,Barbell,Intermediate,0.572655956,18.91129379,0.971330303
Bench Press with Chains,Powerlifting,Triceps,Barbell,Beginner,0.67773238,16.98629699,0.817653857
Floor Press,Powerlifting,Triceps,Barbell,Beginner,0.71838925,16.71368992,0.756314437
Pin Presses,Powerlifting,Triceps,Barbell,Beginner,0.598987743,17.4016064,0.76784056
Floor Press with Chains,Powerlifting,Triceps,Barbell,Beginner,0.721218642,17.04400208,0.740513613
Reverse Band Bench Press,Powerlifting,Triceps,Barbell,Beginner,0.675267524,16.40223754,0.799031763
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate,0.559446606,17.66210717,0.623665973
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate,0.680489166,16.1732393,0.664938168
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,0.535839178,18.58180395,0.639550888
Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner,0.739061038,15.84185567,0.488276922
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,0.7438511,14.11519674,0.490100712
Seated bar twist,Strength,Abdominals,Barbell,Intermediate,0.613146838,17.64802017,0.721206112
Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate,0.597159411,18.16355704,0.660522876
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate,0.633592912,17.78342102,0.633869134
30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate,0.546558048,17.35595308,0.69434704
30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate,0.570589527,17.75445181,0.611008074
Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate,0.605746835,17.42022724,0.674147884
KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate,0.650343281,16.53461505,0.7501942
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,0.614790075,17.54744562,0.688505014
Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,0.781038902,15.06444499,0.536982368
EZ-bar spider curl,Strength,Biceps,Barbell,Intermediate,0.641513982,15.90258274,0.713560827
Barbell Curl,Strength,Biceps,Barbell,Intermediate,0.609397509,16.48209152,0.68299228
Close-grip EZ-bar curl,Strength,Biceps,Barbell,Beginner,0.768593768,15.55786299,0.550253759
Preacher Curl,Strength,Biceps,Barbell,Intermediate,0.668348475,18.72253949,0.614796995
Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,0.835782837,13.61123465,0.504548787
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,0.811601184,14.35937915,0.495930176
Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,0.707082299,14.12199044,0.49199433
Drag curl,Strength,Biceps,Barbell,Beginner,0.693587358,13.54866501,0.437095367
Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,0.633828174,17.53374832,0.671989472
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,0.728843758,13.78329119,0.552797568
Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,Beginner,0.82291503,13.1250807,0.510169614
Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,Beginner,0.780757489,16.00803253,0.438940809
Dave Draper Forehead Curl,Strength,Biceps,Barbell,Intermediate,0.631087556,16.33208636,0.651634125
Reverse-grip EZ-bar curl,Strength,Biceps,Barbell,Intermediate,0.593477639,17.79915353,0.63546841
EZ-Bar Spider Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate,0.616886142,16.34637863,0.676281642
Barbell curl-,Strength,Biceps,Barbell,Intermediate,0.54334563,18.4442709,0.554103907
Paul Carter Barbell Curl,Strength,Biceps,Barbell,Intermediate,0.580187264,16.03068521,0.659094978
Standing band biceps curl,Strength,Biceps,Barbell,Intermediate,0.666596429,17.66946408,0.6796028
Close-Grip EZ-Bar Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate,0.56434592,17.24236734,0.704833476
Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate,0.56297783,16.28430582,0.706548938
AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,0.652480391,18.08973296,0.601681821
EZ-bar preacher curl,Strength,Biceps,Barbell,Intermediate,0.647724546,16.38166247,0.697024134
30 Arms Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,0.58174754,17.03311978,0.621878166
30 Arms Incline Biceps Curl,Strength,Biceps,Barbell,Intermediate,0.581775093,17.94558132,0.689699884
"Bicep Curls ""21s""",Strength,Biceps,Barbell,Intermediate,0.563600563,17.62497723,0.656685529
Rocking Standing Calf Raise,Strength,Calves,Barbell,Beginner,0.755856527,15.71368796,0.388678167
Standing barbell calf raise,Strength,Calves,Barbell,Beginner,0.730219285,13.25980014,0.505341786
Barbell Seated Calf Raise,Strength,Calves,Barbell,Beginner,0.817558123,16.69934122,0.533776783
Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate,0.549220024,18.18173333,0.655146887
Close-grip bench press,Strength,Chest,Barbell,Intermediate,0.62643781,16.98556558,0.692353871
Barbell Bench Press - Medium Grip,Strength,Chest,Barbell,Intermediate,0.633416712,17.85893506,0.645992608
Decline barbell bench press,Strength,Chest,Barbell,Intermediate,0.634817445,18.65434958,0.666532052
Wide-grip bench press,Strength,Chest,Barbell,Beginner,0.752190534,15.21746164,0.458134435
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,Beginner,0.777795816,17.30968607,0.486511705
Barbell Incline Bench Press Medium-Grip,Strength,Chest,Barbell,Intermediate,0.609888506,17.23078162,0.632938339
Neck Press,Strength,Chest,Barbell,Beginner,0.79983976,14.23615919,0.416058574
Front Raise And Pullover,Strength,Chest,Barbell,Beginner,0.79729388,15.7427905,0.480616411
Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,Beginner,0.692479844,14.00183576,0.558734052
Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,Beginner,0.774682371,15.42623662,0.574411796
Barbell Guillotine Bench Press,Strength,Chest,Barbell,Beginner,0.749750279,15.42343761,0.508045105
Paul Carter Incline Bench Press,Strength,Chest,Barbell,Intermediate,0.604841372,16.68741501,0.655255144
Incline bench press,Strength,Chest,Barbell,Intermediate,0.597820712,16.05380903,0.659977955
Bench press,Strength,Chest,Barbell,Intermediate,0.601937012,16.40966004,0.68939588
TBS Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,0.594989747,15.76112967,0.676743075
AM Flat Bench Barbell Press,Strength,Chest,Barbell,Intermediate,0.60047587,16.55710193,0.571673545
UP Bench Press,Strength,Chest,Barbell,Intermediate,0.591371356,15.77853237,0.653071198
UP Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,0.668706719,16.39105233,0.59241052
King Maker Barbell Bench Press,Strength,Chest,Barbell,Intermediate,0.604300121,16.2794986,0.656142818
King Maker Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,0.708896298,16.35278236,0.596116408
30 Chest Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,0.709478649,17.88716899,0.644925438
30 Chest Barbell Bench Press,Strength,Chest,Barbell,Intermediate,0.633719178,16.98442497,0.697165958
30 Chest 30-Degree Incline Dumbbell Press,Strength,Chest,Barbell,Intermediate,0.681156131,17.10521109,0.67674269
Spoto press,Strength,Chest,Barbell,Intermediate,0.574342912,16.76645741,0.639427512
Palms-down wrist curl over bench,Strength,Forearms,Barbell,Intermediate,0.722039591,15.23096986,0.675629227
Palms-up wrist curl over bench,Strength,Forearms,Barbell,Intermediate,0.675097905,17.67335594,0.670725219
Standing behind-the-back wrist curl,Strength,Forearms,Barbell,Beginner,0.732015883,15.35388033,0.496797727
Seated finger curl,Strength,Forearms,Barbell,Beginner,0.777488925,17.47327523,0.523766725
Seated palms-up wrist curl,Strength,Forearms,Barbell,Intermediate,0.625808869,16.78928448,0.605916965
UN Rear Foot Elevated Split Squat,Strength,Glutes,Barbell,Intermediate,0.571989995,17.87472775,0.698046201
Barbell Deadlift,Strength,Hamstrings,Barbell,Intermediate,0.59870465,17.94037551,0.688976099
Power clean,Strength,Hamstrings,Barbell,Intermediate,0.690223134,16.15099079,0.636842221
Barbell stiff-legged deadlift,Strength,Hamstrings,Barbell,Intermediate,0.639015443,17.45175786,0.648868568
Romanian Deadlift,Strength,Hamstrings,Barbell,Intermediate,0.664549008,16.93670607,0.650047253
Stiff-Legged Deadlift,Strength,Hamstrings,Barbell,Beginner,0.793364474,15.56521323,0.411346224
Snatch Pull,Strength,Hamstrings,Barbell,Beginner,0.670207524,15.5034729,0.52873581
30 Legs Sumo Deadlift,Strength,Hamstrings,Barbell,Intermediate,0.590466326,16.97150522,0.585544329
Bent-arm barbell pull-over,Strength,Lats,Barbell,Intermediate,0.624993488,16.88856689,0.590867853
Barbell pull-over to press,Strength,Lats,Barbell,Beginner,0.766393317,17.06905438,0.500029468
Single-arm barbell bent-over row,Strength,Lats,Barbell,Intermediate,0.626234147,16.15971561,0.689867397
Reverse Barbell Row,Strength,Lats,Barbell,Intermediate,0.595116502,18.6381764,0.684110822
Stiff Leg Barbell Good Morning,Strength,Lower Back,Barbell,Beginner,0.820036055,15.96261276,0.449411726
Paul Carter Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate,0.611388578,17.90136955,0.646352518
TBS Good Morning,Strength,Lower Back,Barbell,Intermediate,0.597121928,17.25458189,0.720846941
TBS Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate,0.57082893,15.49733492,0.674011743
Barbell deadlift-,Strength,Lower Back,Barbell,Intermediate,0.593891411,16.34376263,0.670733139
Deadlift - Gethin Variation,Strength,Lower Back,Barbell,Intermediate,0.58368953,16.97260375,0.63614181
Barbell good morning,Strength,Lower Back,Barbell,Intermediate,0.581912776,16.51051067,0.667362914
UP Conventional Deadlift,Strength,Lower Back,Barbell,Intermediate,0.645789392,18.39994887,0.649047274
30 Day Back Barbell Rack Pull,Strength,Lower Back,Barbell,Intermediate,0.611206649,17.11059369,0.660010214
Reverse-grip bent-over row,Strength,Middle Back,Barbell,Intermediate,0.622829223,17.22827575,0.668188181
One-Arm Long Bar Row,Strength,Middle Back,Barbell,Intermediate,0.678184175,16.76272004,0.599416705
Bent Over Barbell Row,Strength,Middle Back,Barbell,Intermediate,0.568278158,16.7383949,0.638030559
Yates Row Reverse Grip,Strength,Middle Back,Barbell,Beginner,0.808559116,15.80716554,0.59634849
Pendlay Row,Strength,Middle Back,Barbell,Intermediate,0.648079891,16.80484736,0.5638445
Straight Bar Bench Mid Rows,Strength,Middle Back,Barbell,Beginner,0.854169967,15.65360419,0.502586082
Barbell seal row,Strength,Middle Back,Barbell,Intermediate,0.664076416,15.87167862,0.748580814
Yates Row,Strength,Middle Back,Barbell,Beginner,0.732206834,14.97767182,0.513148462
Plate Row,Strength,Middle Back,Barbell,Beginner,0.734560477,14.76555018,0.455298936
Barbell Deadlift Bent Row Complex,Strength,Middle Back,Barbell,Beginner,0.764138709,13.46772671,0.538274133
Single-Arm Landmine Row,Strength,Middle Back,Barbell,Beginner,0.840276016,15.60693295,0.540862349
TBS T-Bar Row,Strength,Middle Back,Barbell,Intermediate,0.626134585,16.79356082,0.647188124
TBS Deficit Deadlift,Strength,Middle Back,Barbell,Intermediate,0.569442584,18.51496625,0.648143906
Bent-Over Barbell Row - Gethin Variation,Strength,Middle Back,Barbell,Intermediate,0.607090179,16.85245396,0.635630641
Barbell bent-over row,Strength,Middle Back,Barbell,Intermediate,0.610197683,16.92348725,0.681319814
UN Barbell Rack Pull,Strength,Middle Back,Barbell,Intermediate,0.568067353,15.98957593,0.60678538
UN Barbell Scrape The Rack,Strength,Middle Back,Barbell,Intermediate,0.587399131,17.09301589,0.677381492
