order_date,requested_delivery_date,Customer Country Code,Product Code,Description,order_type,Customer Order Code,value,Curr,items,Route
27.02.2010,01.11.2010,FI,L10850600,Parka Outdoor Lifestyle STD,VO,3200478633,57.42,EUR,6,FI01FR
01.03.2010,04.10.2010,NO,L10850600,Parka Outdoor Lifestyle STD,VO,3200478926,723.93,NOK,6,NO02FR
03.03.2010,12.11.2010,NO,L10850600,Parka Outdoor Lifestyle STD,VO,3200479351,604.44,NOK,5,NO02FR
09.03.2010,02.08.2010,NO,L10850600,Parka Outdoor Lifestyle STD,VO,3200480158,483.58,NOK,4,NO02FR
25.03.2010,15.09.2010,AT,L10850600,Parka Outdoor Lifestyle STD,VO,3200483732,83.19,DKK,1,AT0003
15.02.2010,30.09.2010,SE,L10850600,Parka Outdoor Lifestyle STD,VO,3200485276,1208.08,SEK,12,SE02FR
07.01.2010,10.07.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200491844,62.82,CHF,3,CH0001
14.01.2010,20.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200491945,101.15,CHF,5,CH0001
18.01.2010,06.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200491964,23.8,CHF,1,CH0001
20.01.2010,01.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492004,125.64,CHF,6,CH0001
25.01.2010,06.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492026,14.28,CHF,1,CH0001
29.01.2010,06.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492055,28.56,CHF,2,CH0001
01.02.2010,07.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492073,66.06,CHF,3,CH0001
18.02.2010,20.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492366,323.68,CHF,17,CH0001
22.02.2010,05.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492379,19.04,CHF,1,CH0001
25.02.2010,20.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492483,62.82,CHF,3,CH0001
26.02.2010,06.09.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492517,14.28,CHF,1,CH0001
26.02.2010,20.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492522,88.08,CHF,4,CH0001
04.03.2010,01.10.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492647,158.27,CHF,7,CH0001
10.03.2010,01.08.2010,CH,L10850600,Parka Outdoor Lifestyle STD,VO,3200492812,19.04,CHF,1,CH0001
29.01.2010,01.07.2010,DE,L10850600,Parka Outdoor Lifestyle STD,VO,3200494785,659.75,EUR,65,DE0005
17.02.2010,15.09.2010,DE,L10850600,Parka Outdoor Lifestyle STD,VO,3200495294,42.96,EUR,4,DE0005
19.02.2010,01.09.2010,DE,L10850600,Parka Outdoor Lifestyle STD,VO,3200495358,44.84,EUR,4,DE0005
01.03.2010,01.09.2010,IT,L10850600,Parka Outdoor Lifestyle STD,VO,3200495383,54,EUR,6,IT0000
04.03.2010,03.10.2010,IT,L10850600,Parka Outdoor Lifestyle STD,VO,3200495663,79.2,EUR,11,IT0000
10.03.2010,03.09.2010,IT,L10850600,Parka Outdoor Lifestyle STD,VO,3200495815,72,EUR,10,IT0000
15.03.2010,03.09.2010,IT,L10850600,Parka Outdoor Lifestyle STD,VO,3200495965,25.2,EUR,3,IT0000
03.03.2010,04.10.2010,DE,L10850600,Parka Outdoor Lifestyle STD,VO,3200496143,8.85,EUR,1,DE0005
03.03.2010,01.10.2010,DE,L10850600,Parka Outdoor Lifestyle STD,VO,3200496149,115.5,EUR,11,DE0005
18.01.2010,01.09.2010,NL,L10850600,Parka Outdoor Lifestyle STD,VO,3200499599,57.66,EUR,6,BE0001
06.04.2010,23.08.2010,NL,L10850600,Parka Outdoor Lifestyle STD,VO,3200500301,323.95,EUR,31,BE0001
04.03.2010,03.09.2010,AT,L10850600,Parka Outdoor Lifestyle STD,VO,3200500538,16.66,EUR,2,AT0003
22.02.2010,01.07.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200503347,35.2,EUR,4,FR0001
22.02.2010,01.09.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200503402,53.4,EUR,6,FR0001
08.03.2010,02.09.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200503691,27,EUR,3,FR0001
18.03.2010,07.10.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200504169,60,EUR,6,FR0001
26.03.2010,02.09.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200504481,52.2,EUR,6,FR0001
31.03.2010,16.11.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200504673,100,EUR,10,FR0001
09.04.2010,01.09.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200505070,40,EUR,4,FR0001
12.04.2010,10.07.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200505177,37.6,EUR,4,FR0001
20.04.2010,01.09.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200506001,0,EUR,\N,FR0001
26.04.2010,01.09.2010,IT,L10850600,Parka Outdoor Lifestyle STD,VO,3200532999,25.2,EUR,3,IT0000
29.04.2010,25.11.2010,FR,L10850600,Parka Outdoor Lifestyle STD,VO,3200534697,40,EUR,4,FR0001
01.03.2010,04.10.2010,NO,L10850700,Parka Outdoor Lifestyle STD,VO,3200478926,723.93,NOK,6,NO02FR
09.03.2010,02.08.2010,NO,L10850700,Parka Outdoor Lifestyle STD,VO,3200480158,483.58,NOK,4,NO02FR
15.01.2010,06.09.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200491901,23.8,CHF,1,CH0001
25.01.2010,06.09.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200492026,14.28,CHF,1,CH0001
28.01.2010,14.11.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200492041,23.8,CHF,1,CH0001
29.01.2010,06.09.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200492059,14.28,CHF,1,CH0001
02.03.2010,16.10.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200492596,20.23,CHF,1,CH0001
03.03.2010,20.08.2010,CH,L10850700,Parka Outdoor Lifestyle STD,VO,3200492610,20.23,CHF,1,CH0001
01.03.2010,01.09.2010,IT,L10850700,Parka Outdoor Lifestyle STD,VO,3200495383,54,EUR,6,IT0000
03.03.2010,01.10.2010,DE,L10850700,Parka Outdoor Lifestyle STD,VO,3200496149,84,EUR,8,DE0005
04.03.2010,06.10.2010,AT,L10850700,Parka Outdoor Lifestyle STD,VO,3200500535,32.13,EUR,3,AT0003
